productId,productName,category,brand,model,sku,barcode,unitPrice,discountAmount,stockLevel,warehouseId,region,launchDate,expiry,weight,dimensions,color,material,originCountry,imported,certified,eco,featured,created,modified,desc,remarks,rating,reviewCount,supplier,contact,warranty,returnDays,shippingType,storage,fragile,flammable,perishable,restricted,ageRestriction,license
4001,Widget X,Electronics,BrandA,ModelX,SKU201,BC201,30.00,10.00,200,WH-EU,EU,2024-03-01,2026-03-01,1.5kg,"12x6x4cm",Green,Plastic,France,FALSE,TRUE,TRUE,FALSE,2024-03-01,2025-08-01,"Premium widget","Top rated",4.8,150,SupplierA,331-111111,18 months,45,Express,Room,FALSE,FALSE,FALSE,FALSE,21,FALSE
4002,Gadget Y,Home,BrandB,ModelY,SKU202,BC202,20.00,0.00,80,WH-DE,EU,2024-04-01,2026-04-01,1.0kg,"9x5x3cm",Yellow,Metal,Germany,TRUE,FALSE,FALSE,TRUE,2024-04-01,2025-08-01,"Reliable gadget","Popular",4.3,60,SupplierB,491-222222,36 months,20,Standard,Cold,TRUE,FALSE,FALSE,FALSE,0,FALSE
4003,Tool Z,Tools,BrandC,ModelZ,SKU203,BC203,45.00,4.50,120,WH-IT,EU,2024-05-01,2026-05-01,2.3kg,"16x9x6cm",Blue,Steel,Italy,FALSE,TRUE,FALSE,TRUE,2024-05-01,2025-08-01,"Professional tool","Heavy duty",4.7,190,SupplierC,39-333333,48 months,60,Express,Room,FALSE,FALSE,FALSE,TRUE,25,TRUE
4004,Device W,Electronics,BrandD,ModelW,SKU204,BC204,25.00,0.00,150,WH-ES,EU,2024-06-01,2026-06-01,1.1kg,"11x5x3cm",Red,Aluminum,Spain,TRUE,TRUE,TRUE,FALSE,2024-06-01,2025-08-01,"Smart device","Innovation",4.4,125,SupplierD,34-444444,24 months,30,Standard,Room,TRUE,FALSE,FALSE,FALSE,18,FALSE
4005,Item V,Home,BrandE,ModelV,SKU205,BC205,35.00,15.75,100,WH-CZ,EU,2024-07-01,2026-07-01,0.7kg,"8x4x3cm",Purple,Ceramic,Czechia,FALSE,FALSE,TRUE,TRUE,2024-07-01,2025-08-01,"Household item","Versatile use",4.2,85,SupplierE,420-555555,15 months,25,Express,Cool,TRUE,FALSE,FALSE,FALSE,0,FALSE
4006,Product U,Sports,BrandF,ModelU,SKU206,BC206,28.00,0.00,180,WH-RO,EU,2024-08-01,2026-08-01,0.6kg,"7x4x2cm",Orange,Rubber,Romania,TRUE,TRUE,FALSE,FALSE,2024-08-01,2025-08-01,"Sports gear","Lightweight",4.5,95,SupplierF,40-666666,9 months,15,Standard,Room,FALSE,FALSE,FALSE,FALSE,14,FALSE
4007,Component T,Electronics,BrandG,ModelT,SKU207,BC207,22.50,9.00,250,WH-DE,EU,2024-09-01,2026-09-01,0.4kg,"5x3x2cm",Black,Silicon,Germany,FALSE,TRUE,TRUE,TRUE,2024-09-01,2025-08-01,"Electronic part","High precision",4.6,170,SupplierG,491-777777,30 months,35,Express,Room,TRUE,FALSE,FALSE,FALSE,0,FALSE
4008,Accessory S,Fashion,BrandH,ModelS,SKU208,BC208,60.00,0.00,70,WH-EU,EU,2024-10-01,2026-10-01,0.3kg,"4x3x1cm",Pink,Leather,France,TRUE,FALSE,FALSE,FALSE,2024-10-01,2025-08-01,"Fashion item","Trendy design",4.1,65,SupplierH,331-888888,12 months,40,Standard,Room,FALSE,FALSE,FALSE,FALSE,0,FALSE
4009,Machine R,Industrial,BrandI,ModelR,SKU209,BC209,40.00,12.00,40,WH-DE,EU,2024-11-01,2026-11-01,4.8kg,"19x14x9cm",White,Iron,Germany,FALSE,TRUE,FALSE,TRUE,2024-11-01,2025-08-01,"Industrial equipment","Heavy duty",4.9,105,SupplierI,491-999999,72 months,120,Freight,Room,FALSE,FALSE,FALSE,TRUE,21,TRUE
4010,Appliance Q,Home,BrandJ,ModelQ,SKU210,BC210,33.00,0.00,110,WH-ES,EU,2024-12-01,2026-12-01,2.8kg,"17x11x7cm",Gray,Stainless,Spain,TRUE,TRUE,TRUE,FALSE,2024-12-01,2025-08-01,"Home appliance","Energy saving",4.3,130,SupplierJ,34-000000,27 months,50,Standard,Room,FALSE,FALSE,FALSE,FALSE,0,FALSE
