product_id,product_name,category,brand,model,sku,barcode,price,discount,stock,warehouse,region,release_date,expiry_date,weight,dimensions,color,material,origin,country,imported,certified,eco_friendly,featured,created_at,updated_at,description,notes,ratings,reviews,supplier_id,supplier_name,supplier_contact,warranty_period,return_policy,shipping_class,storage_temp,fragile,flammable,perishable,restricted,age_limit,license_required
3001,Widget A,Electronics,BrandX,ModelA,SKU123,BC123,25.99,5.00,100,WH1,US,2024-01-01,2026-01-01,1.2kg,"10x5x3cm",Red,Plastic,USA,USA,FALSE,TRUE,FALSE,TRUE,2024-01-01,2025-08-01,"High quality widget","Popular item",4.5,120,4001,SupplierX,555-1111,12 months,30 days,Standard,Room,FALSE,FALSE,FALSE,FALSE,18,FALSE
3002,Gadget B,Home,BrandY,ModelB,SKU124,BC124,15.99,0.00,50,WH2,US,2024-02-01,2026-02-01,0.8kg,"8x4x2cm",Blue,Metal,USA,USA,TRUE,FALSE,TRUE,FALSE,2024-02-01,2025-08-01,"Durable gadget","Best seller",4.2,80,4002,SupplierY,555-2222,24 months,15 days,Express,Cold,TRUE,FALSE,FALSE,FALSE,0,FALSE
3003,Tool C,Tools,BrandZ,ModelC,SKU125,BC125,35.50,10.00,75,WH3,US,2024-03-01,2026-03-01,2.1kg,"15x8x5cm",Green,Steel,USA,USA,FALSE,TRUE,FALSE,TRUE,2024-03-01,2025-08-01,"Professional tool","Heavy duty",4.7,200,4003,SupplierZ,555-3333,36 months,45 days,Standard,Room,FALSE,FALSE,FALSE,TRUE,21,TRUE
3004,Device D,Electronics,BrandA,ModelD,SKU126,BC126,45.00,0.00,30,WH4,US,2024-04-01,2026-04-01,1.5kg,"12x6x4cm",Black,Aluminum,USA,USA,TRUE,TRUE,TRUE,FALSE,2024-04-01,2025-08-01,"Smart device","Latest tech",4.3,150,4004,SupplierA,555-4444,18 months,30 days,Express,Room,TRUE,FALSE,FALSE,FALSE,16,FALSE
3005,Item E,Home,BrandB,ModelE,SKU127,BC127,30.99,6.00,120,WH5,US,2024-05-01,2026-05-01,0.9kg,"9x5x3cm",White,Ceramic,USA,USA,FALSE,FALSE,TRUE,TRUE,2024-05-01,2025-08-01,"Household item","Versatile",4.1,90,4005,SupplierB,555-5555,12 months,20 days,Standard,Cool,TRUE,FALSE,FALSE,FALSE,0,FALSE
3006,Product F,Sports,BrandC,ModelF,SKU128,BC128,22.50,0.00,200,WH6,US,2024-06-01,2026-06-01,0.5kg,"6x3x2cm",Yellow,Rubber,USA,USA,TRUE,TRUE,FALSE,FALSE,2024-06-01,2025-08-01,"Sports equipment","Lightweight",4.4,110,4006,SupplierC,555-6666,6 months,14 days,Standard,Room,FALSE,FALSE,FALSE,FALSE,12,FALSE
3007,Component G,Electronics,BrandD,ModelG,SKU129,BC129,18.75,7.50,300,WH7,US,2024-07-01,2026-07-01,0.3kg,"4x2x1cm",Orange,Silicon,USA,USA,FALSE,TRUE,TRUE,TRUE,2024-07-01,2025-08-01,"Electronic component","High precision",4.6,180,4007,SupplierD,555-7777,24 months,30 days,Express,Room,TRUE,FALSE,FALSE,FALSE,0,FALSE
3008,Accessory H,Fashion,BrandE,ModelH,SKU130,BC130,55.99,0.00,80,WH8,US,2024-08-01,2026-08-01,0.2kg,"3x2x1cm",Purple,Leather,USA,USA,TRUE,FALSE,FALSE,FALSE,2024-08-01,2025-08-01,"Fashion accessory","Trendy",4.0,75,4008,SupplierE,555-8888,12 months,30 days,Standard,Room,FALSE,FALSE,FALSE,FALSE,0,FALSE
3009,Machine I,Industrial,BrandF,ModelI,SKU131,BC131,42.00,8.40,60,WH9,US,2024-09-01,2026-09-01,5.0kg,"20x15x10cm",Gray,Iron,USA,USA,FALSE,TRUE,FALSE,TRUE,2024-09-01,2025-08-01,"Industrial machine","Heavy duty",4.8,95,4009,SupplierF,555-9999,60 months,90 days,Freight,Room,FALSE,FALSE,FALSE,TRUE,25,TRUE
3010,Appliance J,Home,BrandG,ModelJ,SKU132,BC132,38.25,0.00,90,WH10,US,2024-10-01,2026-10-01,3.2kg,"18x12x8cm",Silver,Stainless,USA,USA,TRUE,TRUE,TRUE,FALSE,2024-10-01,2025-08-01,"Home appliance","Energy efficient",4.2,140,4010,SupplierG,555-0000,24 months,45 days,Standard,Room,FALSE,FALSE,FALSE,FALSE,0,FALSE
